lemma,length,suffix_2,suffix_3,suffix_4,prefix_2,prefix_3,prefix_4,projection_x,projection_y,article
jaar,4,ar,aar,jaar,ja,jaa,jaar,14.543074,10.780829,both
invloed,7,ed,oed,loed,in,inv,invl,10.975009,10.136664,both
rehabilitatiebeweging,21,ng,ing,ging,re,reh,reha,8.864455,9.00811,de
tachtiger,9,er,ger,iger,ta,tac,tach,12.061842,7.9826202,de
grondlegger,11,er,ger,gger,gr,gro,gron,11.752017,9.1136465,de
psychiatrie,11,ie,rie,trie,ps,psy,psyc,8.426493,6.2667527,de
rehabilitatiegedacht,20,ht,cht,acht,re,reh,reha,9.052725,8.972257,de
beroep,6,ep,oep,roep,be,ber,bero,9.542663,13.574295,het
medewerker,10,er,ker,rker,me,med,mede,9.807937,12.987071,de
richting,8,ng,ing,ting,ri,ric,rich,10.176686,8.400961,de
bureau,6,au,eau,reau,bu,bur,bure,10.000436,12.835338,both
hoogleraar,10,ar,aar,raar,ho,hoo,hoog,6.9363303,11.744465,de
effect,6,ct,ect,fect,ef,eff,effe,10.916866,10.167951,both
groep,5,ep,oep,roep,gr,gro,groe,10.656796,12.168361,both
jongeman,8,an,man,eman,jo,jon,jong,6.666735,5.5083857,de
jongen,6,en,gen,ngen,jo,jon,jong,6.79991,5.395983,de
contact,7,ct,act,tact,co,con,cont,8.24996,10.953637,both
zestiger,8,er,ger,iger,ze,zes,zest,12.302775,8.1037855,de
positie,7,ie,tie,itie,po,pos,posi,8.974185,7.858744,de
emancipatie,11,ie,tie,atie,em,ema,eman,11.464816,12.449165,de
antipsychiatrie,15,ie,rie,trie,an,ant,anti,8.5218525,6.268576,de
kern,4,rn,ern,kern,ke,ker,kern,9.777561,6.71531,de
onmondigheid,12,id,eid,heid,on,onm,onmo,11.8703575,9.785249,de
patiënt,7,nt,ënt,iënt,pa,pat,pati,8.041806,5.9557476,de
duin,4,in,uin,duin,du,dui,duin,12.983604,7.910941,de
ontwikkeling,12,ng,ing,ling,on,ont,ontw,8.96124,10.704395,de
ontoegankelijkheid,18,id,eid,heid,on,ont,onto,11.666284,9.974629,de
hond,4,nd,ond,hond,ho,hon,hond,11.502855,5.410579,both
warmte,6,te,mte,rmte,wa,war,warm,14.130985,2.879111,de
vlo,3,lo,vlo,vlo,vl,vlo,vlo,12.076166,6.9499135,de
cyclus,6,us,lus,clus,cy,cyc,cycl,13.14918,6.5390034,de
behandeling,11,ng,ing,ling,be,beh,beha,8.380132,6.2090983,de
